'../../data/manuscripts/tei/276.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/90.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/223.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/188.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/201.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/212.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/265.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/262.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/197.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/26.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/163.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/278.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/45.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/6.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/116.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/127.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/279.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/146.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/237.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/51.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
'../../data/manuscripts/tei/141.xml'	'Judeo-Arabic Bible Exegesis and Translations in the Firkovitch Manuscript Collections'	'Cataloging data from the ARCHES project re-used and prepared for electronic publication in the project: MAJLIS: The Transformation of Jewish Literature in Arabic in the Islamicate World'
